run,starting_order,greedy_order,best_order,starting_spearmanr,greedy_spearmanr,best_spearmanr,starting_kendalltau,greedy_kendalltau,best_kendalltau,num_iters
0,"[2, 8, 4, 9, 1, 6, 7, 3, 0, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",-0.2121212121212121,0.4545454545454545,0.4545454545454545,-0.15555555555555553,0.6,0.6,11136
1,"[2, 9, 6, 4, 0, 3, 1, 7, 8, 5]","[1, 2, 3, 5, 4, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",0.11515151515151514,0.4424242424242424,0.4545454545454545,0.06666666666666667,0.5555555555555555,0.6,11083
2,"[4, 1, 5, 0, 7, 2, 3, 6, 9, 8]","[1, 2, 3, 5, 4, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",0.6121212121212121,0.4424242424242424,0.4545454545454545,0.4666666666666666,0.5555555555555555,0.6,11085
3,"[5, 4, 1, 2, 9, 6, 7, 0, 3, 8]","[1, 2, 3, 5, 4, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",0.16363636363636364,0.4424242424242424,0.4545454545454545,0.1111111111111111,0.5555555555555555,0.6,10889
4,"[3, 8, 4, 9, 2, 6, 0, 1, 5, 7]","[1, 2, 3, 5, 4, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",-0.13939393939393938,0.4424242424242424,0.4545454545454545,-0.06666666666666667,0.5555555555555555,0.6,11165
5,"[9, 5, 2, 4, 7, 1, 0, 8, 6, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",-0.2121212121212121,0.4545454545454545,0.4545454545454545,-0.19999999999999998,0.6,0.6,11090
6,"[8, 1, 7, 0, 6, 5, 2, 4, 3, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",0.07878787878787878,0.4545454545454545,0.4545454545454545,-0.022222222222222223,0.6,0.6,11176
7,"[8, 5, 0, 2, 1, 9, 7, 3, 6, 4]","[1, 2, 3, 5, 4, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",0.05454545454545454,0.4424242424242424,0.4545454545454545,0.022222222222222223,0.5555555555555555,0.6,11195
8,"[8, 6, 9, 0, 2, 5, 7, 1, 4, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",-0.4545454545454545,0.4545454545454545,0.4545454545454545,-0.28888888888888886,0.6,0.6,10978
9,"[8, 4, 7, 2, 1, 9, 3, 0, 6, 5]","[1, 2, 3, 5, 4, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",-0.22424242424242422,0.4424242424242424,0.4545454545454545,-0.19999999999999998,0.5555555555555555,0.6,11067
10,"[8, 2, 5, 6, 3, 1, 0, 7, 4, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",0.07878787878787878,0.4545454545454545,0.4545454545454545,0.022222222222222223,0.6,0.6,11318
11,"[7, 8, 2, 6, 4, 5, 1, 3, 0, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",-0.28484848484848485,0.4545454545454545,0.4545454545454545,-0.28888888888888886,0.6,0.6,11194
12,"[5, 8, 7, 0, 4, 9, 3, 2, 1, 6]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",-0.309090909090909,0.4545454545454545,0.4545454545454545,-0.24444444444444444,0.6,0.6,11244
13,"[3, 5, 6, 1, 4, 7, 8, 9, 0, 2]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",-0.0303030303030303,0.4545454545454545,0.4545454545454545,0.1111111111111111,0.6,0.6,11342
14,"[3, 9, 0, 5, 4, 2, 1, 7, 6, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0]",0.2727272727272727,0.4545454545454545,0.4545454545454545,0.19999999999999998,0.6,0.6,10936
