run,starting_order,greedy_order,best_order,starting_spearmanr,greedy_spearmanr,best_spearmanr,starting_kendalltau,greedy_kendalltau,best_kendalltau,num_iters
0,"[2, 8, 4, 9, 1, 6, 7, 3, 0, 5]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",-0.2121212121212121,-0.6,-0.6,-0.15555555555555553,-0.4666666666666666,-0.4666666666666666,12794
1,"[2, 9, 6, 4, 0, 3, 1, 7, 8, 5]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",0.11515151515151514,-0.6,-0.6,0.06666666666666667,-0.4666666666666666,-0.4666666666666666,12782
2,"[4, 1, 5, 0, 7, 2, 3, 6, 9, 8]","[6, 9, 7, 5, 3, 8, 1, 0, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",0.6121212121212121,-0.6848484848484848,-0.6,0.4666666666666666,-0.5111111111111111,-0.4666666666666666,12781
3,"[5, 4, 1, 2, 9, 6, 7, 0, 3, 8]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",0.16363636363636364,-0.6,-0.6,0.1111111111111111,-0.4666666666666666,-0.4666666666666666,12850
4,"[3, 8, 4, 9, 2, 6, 0, 1, 5, 7]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",-0.13939393939393938,-0.6,-0.6,-0.06666666666666667,-0.4666666666666666,-0.4666666666666666,12886
5,"[9, 5, 2, 4, 7, 1, 0, 8, 6, 3]","[6, 9, 5, 7, 3, 1, 8, 0, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",-0.2121212121212121,-0.5757575757575757,-0.6,-0.19999999999999998,-0.4222222222222222,-0.4666666666666666,12797
6,"[8, 1, 7, 0, 6, 5, 2, 4, 3, 9]","[6, 9, 7, 5, 8, 3, 0, 1, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",0.07878787878787878,-0.7333333333333332,-0.6,-0.022222222222222223,-0.5111111111111111,-0.4666666666666666,12746
7,"[8, 5, 0, 2, 1, 9, 7, 3, 6, 4]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",0.05454545454545454,-0.6,-0.6,0.022222222222222223,-0.4666666666666666,-0.4666666666666666,12638
8,"[8, 6, 9, 0, 2, 5, 7, 1, 4, 3]","[6, 9, 7, 5, 3, 8, 1, 0, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",-0.4545454545454545,-0.6848484848484848,-0.6,-0.28888888888888886,-0.5111111111111111,-0.4666666666666666,12833
9,"[8, 4, 7, 2, 1, 9, 3, 0, 6, 5]","[6, 9, 7, 5, 3, 8, 1, 0, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",-0.22424242424242422,-0.6848484848484848,-0.6,-0.19999999999999998,-0.5111111111111111,-0.4666666666666666,12719
10,"[8, 2, 5, 6, 3, 1, 0, 7, 4, 9]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",0.07878787878787878,-0.6,-0.6,0.022222222222222223,-0.4666666666666666,-0.4666666666666666,12781
11,"[7, 8, 2, 6, 4, 5, 1, 3, 0, 9]","[6, 9, 7, 5, 3, 8, 0, 1, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",-0.28484848484848485,-0.6727272727272726,-0.6,-0.28888888888888886,-0.4666666666666666,-0.4666666666666666,13000
12,"[5, 8, 7, 0, 4, 9, 3, 2, 1, 6]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]","[6, 9, 7, 5, 3, 1, 8, 0, 4, 2]",-0.309090909090909,-0.6,-0.6,-0.24444444444444444,-0.4666666666666666,-0.4666666666666666,12942
